Name,IATA,ICAO,Callsign,Country,Active
135 Airways,,GNL,GENERAL,United States,N
3D Aviation,,SEC,SECUREX,United States,N
40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
Aloha Airlines,AQ,AAH,ALOHA,United States,Y
Alaska Island Air,,AAK,ALASKA ISLAND,United States,N
American Airlines,AA,AAL,AMERICAN,United States,Y
Aviation Management Corporation,,AAM,AM CORP,United States,N
Atlantis Airlines (USA),,AAO,ATLANTIS AIR,United States,N
Astro Air International,,AAV,ASTRO-PHIL,United States,N
Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
Airborne Express,GB,ABX,ABEX,United States,N
ABX Air,GB,ABX,ABEX,United States,N
Academy Airlines,,ACD,ACADEMY,United States,N
Air Aurora,,AAI,BOREALIS,United States,N
Advance Leasing Company,4G,,,United States,N
Aztec Worldwide Airlines,7A,,,United States,N
Aerodyne,,ADY,AERODYNE,United States,N
Anderson Aviation,,ADX,ANDAX,United States,N
Alaska Central Express,KO,AER,ACE AIR,United States,Y
Airway Express,,AEX,AVCO,United States,N
Aerial Transit Company,,AEZ,AERIAL TRANZ,United States,N
Air Guam,,AGM,AIR GUAM,United States,N
Air Cargo America,,MVM,PEGASUS,United States,N
Air Cargo Carriers,2Q,SNC,NIGHT CARGO,United States,Y
Atlantic Gulf Airlines,,AGF,ATLANTIC GULF,United States,N
Atlantic Coast Airlines,,BLR,BLUE RIDGE,United States,N
Aero Flight Service,,AGY,FLIGHT GROUP,United States,N
Aspen Helicopters,,AHF,ASPEN,United States,N
Alpine Air Express,5A,AIP,ALPINE AIR,United States,N
Airlift International,,AIR,AIRLIFT,United States,Y
Air Illinois,,AIL,AIR ILLINOIS,United States,N
Ameristar Jet Charter,,AJI,AMERISTAR,United States,N
A2 Jet Leasing,,AJJ,ATLANTIC JET,United States,N
Amerijet International,M6,AJT,AMERIJET,United States,N
Alpha Jet International,,AJW,ALPHAJET,United States,N
American Flyers,,FYS,AMERICAN FLYERS,United States,N
Aero Coach Aviation,,DFA,AERO COACH,United States,N
Atlantic Southeast Airlines,,CAA,Chandler,United States,N
Air Logistics,,ALG,AIRLOG,United States,N
Air Lincoln,,ALN,CHICAGO LINCOLN,United States,N
America West Airlines,HP,AWE,CACTUS,United States,Y
Air Wisconsin,ZW,AWI,AIR WISCONSIN,United States,Y
Arizona Express Airlines,,TMP,TEMPE,United States,N
Allegheny Commuter Airlines,,ALO,ALLEGHENY,United States,Y
Alyeska Air Service,,ALY,ALYESKA,United States,N
Air Sunshine,,RSI,AIR SUNSHINE,United States,Y
Ameriflight,,AMF,AMFLIGHT,United States,N
Air Specialties Corporation,,AMR,AIR AM,United States,N
ATA Airlines,,AMT,AMTRAN,United States,Y
Air Midwest,ZV,AMW,AIR MIDWEST,United States,N
Air Nevada,,ANV,AIR NEVADA,United States,N
Air Vegas,6V,VGA,AIR VEGAS,United States,N
Atlantic Airlines,,BJK,BLACKJACK,United States,N
ACM Aviation,,BJT,BAY JET,United States,N
Aspen Aviation,,APQ,ASPEN BASE,United States,N
Arrow Air,JW,APW,BIG A,United States,Y
Apex Air Cargo,,APX,PARCEL EXPRESS,United States,N
Aluminum Company Of America,,AQO,ALCOA SHUTTLE,United States,N
Aerodyne Charter Company,,AQZ,QUANZA,United States,N
Air Routing International Corp.,,ARC, ,United States,N
Arrowhead Airways,,ARH,ARROWHEAD,United States,N
Argosy Airways,,ARY,GOSEY,United States,N
Air Resorts,,ARZ,AIR RESORTS,United States,N
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
Air Transport Association,,ATA,,United States,N
Air Charter World,,XAC,,United States,N
Air Travel Corp.,,ATH,AIR TRAVEL,United States,N
Air Transport International,8C,ATN,AIR TRANSPORT,United States,N
Atlas Airlines,,ATR,ATLAS-AIR,United States,N
Austin Express,,TXX,COWBOY,United States,N
Airvantage Incorporated,,AVV,AIRVANTAGE,United States,N
Action Airlines (Action Air Charter),,AXQ,ACTION AIR,United States,N
Altus Airlines,,AXS,ALTUS,United States,N
Arizona Pacific Airways,,AZP,ARIZONA PACIFIC,United States,N
Air Continental Inc,,NAR,NIGHT AIR,United States,N
Air Newark,,NER,NEWAIR,United States,N
Angel Flight America,,NGF,ANGEL FLIGHT,United States,N
Advance Aviation Services,,XTJ,,United States,N
Air Spirit,,SIP,AIR SPIRIT,United States,N
Aroostook Aviation,,PXX,PINE STATE,United States,N
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States,Y
Aero Air,,WIL,WILLIAMETTE,United States,N
Aero Industries Inc,,WAB,WABASH,United States,N
Aeronautical Radio Inc,,XAA,,United States,N
Air-Rep,,XPR,,United States,N
Air Net Private Charter,,WDR,WIND RIDER,United States,N
Aircraft Performance Group,,XLB,,United States,N
Air-Lift Associates,,WPK,WOLFPACK,United States,N
Aviation Partners,,WLT,WINGLET,United States,N
Aviation North,,WLV,WOLVERINE,United States,N
AMR Services Corporation,,XAM,ALLIANCE,United States,N
Airline Operations Services,,XAO,,United States,N
AT and T Aviation Division,,XAT,,United States,N
Averitt Air Charter,,VRT,AVERITT,United States,N
American Flight Service Systems,,XFS,,United States,N
Air Charter Professionals,,CHV,CHARTAIR,United States,N
Arctic Circle Air Service,5F,CIR,AIR ARCTIC,United States,N
Aviation Charter Services,,CKL,CIRCLE CITY,United States,N
Air Care Alliance,,CMF,COMPASSION,United States,N
Aquila Air,,CNH,CHENANGO,United States,N
Aero Charter and Transport,,CTA,CHAR-TRAN,United States,N
Air Transport,,CYO,COYOTE,United States,N
Access Air,ZA,CYD,CYCLONE,United States,Y
Air Alpha,,DBA,DOUBLE-A,United States,N
Astar Air Cargo,ER,DHL,DAHL,United States,N
Aerodynamics Incorporated,,DNJ,DYNAJET,United States,N
Aex Air,,DST,DESERT,United States,N
Aero Dynamics,,DYN,AERO DYNAMIC,United States,N
Epps Air Service,,EPS,EPPS AIR,United States,N
Air Exchange,,EXG,EXCHANGE,United States,N
Aviation Data Systems,,FBW,,United States,N
Air Carriers,,FCI,FAST CHECK,United States,N
Air Florida,QH,FLZ,AIR FLORIDA,United States,Y
Ford Motor Company,,FRD,FORD,United States,N
Aero Charter,,GLT,GASLIGHT,United States,N
Airlift Alaska,,GSP,GREEN SPEED,United States,N
Atlas Air,5Y,GTI,GIANT,United States,Y
Air Tahoma,,HMA,TAHOMA,United States,N
Avfinity,,UTX,,United States,N
Aerosmith Aviation,,JPR,JASPER,United States,N
Air South,,KKB,KHAKI BLUE,United States,N
Av Atlantic,,KYC,DOLPHIN,United States,N
American Aviation,,LKP,LAKE POWELL,United States,N
Air Solutions,,LKY,LUCKY,United States,N
Atlantic Aero and Mid-Atlantic Freight,,MDC,NIGHT SHIP,United States,N
Asia Pacific Airlines,,MGE,MAGELLAN,United States,N
AMP Incorporated,,MMP,AMP-INC,United States,N
Atlantic Richfield Company,,NRS,NORTH SLOPE,United States,N
Air Cargo Express International,,PFT,PROFREIGHT,United States,N
Atlantic Coast Jet,,PRT,PATRIOT,United States,N
Aero Taxi Aviation,,QKC,QUAKER CITY,United States,N
Air Center Helicopters,,RAP,RAPTOR,United States,N
Air Mobility Command,MC,RCH,REACH,United States,N
Air Cargo Masters,,RNR,RUNNER,United States,N
Anoka Air Charter,,RZZ,RED ZONE,United States,N
American Jet International,,SCM,SCREAMER,United States,N
Air San Juan,,SJN,SAN JUAN,United States,N
Aeropac,,STK,SAT PAK,United States,N
Air St. Thomas,,STT,PARADISE,United States,N
Air Cargo Express,,TDG,TURBO DOG,United States,N
Air Today,,TDY,AIR TODAY,United States,N
Airmark Aviation,,TRH,TRANSTAR,United States,N
AirTran Airways,FL,TRS,CITRUS,United States,Y
Avcenter,,TTE,TETON,United States,N
Air LA,,UED,AIR L-A,United States,N
Air Castle Corporation / Global Airways,,GLB,GLO-AIR,United States,N
Baker Aviation,8Q,BAJ,BAKER AVIATION,United States,N
Blackhawk Airways,,BAK,BLACKHAWK,United States,N
Bar Harbor Airlines,,AJC,BAR HARBOR,United States,N
Basler Flight Service,,BFC,BASLER,United States,N
Bighorn Airways,,BHR,BIGHORN AIR,United States,N
Big Island Air,,BIG,BIG ISLE,United States,N
Boise Interagency Fire Center,,BIN,BISON-AIR,United States,N
Bird Leasing,,BIR,BIRD AIR,United States,N
Business Jet Solutions,,BJS,SOLUTION,United States,N
Bankair,B4,BKA,BANKAIR,United States,N
Barken International,,BKJ,BARKEN JET,United States,N
Blue Horizon Travel Club,,BLH,BLUE HORIZON,United States,N
Baltic Aviation,,BLT,BALTAIR,United States,N
Bemidji Airlines,CH,BMJ,BEMIDJI,United States,Y
Bowman Aviation,,BMN,BOWMAN,United States,N
Bancstar - Valley National Corporation,,BNS,BANCSTAR,United States,N
Boeing,,BOE,BOEING,United States,N
Bering Air,8E,BRG,BERING AIR,United States,Y
Branson Airlines,,BRN,BRANSON,United States,N
Braniff International Airways,BN,BNF,Braniff,United States,N
Buffalo Express Airlines,,BRX,BUFF EXPRESS,United States,N
Big Sky Airlines,GQ,BSY,BIG SKY,United States,N
Baltia Air Lines,,BTL,BALTIA FLIGHT,United States,N
Business Express,,GAA,BIZEX,United States,N
Buffalo Airways,,BVA,BUFFALO AIR,United States,N
Baron Aviation Services,,BVN,SHOW-ME,United States,N
Redding Aero Enterprises,,BXR,BOXER,United States,N
Berry Aviation,,BYA,BERRY,United States,N
Baltimore Air Transport,,CPJ,CORPJET,United States,N
Boston-Maine Airways,E9,CXS,CLIPPER CONNECTION,United States,N
Baltimore Airways,,EAH,EASTERN,United States,N
Bombardier Business Jet Solutions,,LXJ,FLEXJET,United States,N
Butte Aviation,,PPS,PIPESTONE,United States,N
Business Airfreight,,RLR,RATTLER,United States,N
Biz Jet Charter,,VLX,AVOLAR,United States,N
Baseops International,,XBO,,United States,N
C and M Aviation,,TIP,TRANSPAC,United States,N
C&M Airways,,RWG,RED WING,United States,N
CKC Services,,CKC,,United States,N
CSA Air,,IRO,IRON AIR,United States,N
Cal-West Aviation,,REZ,CAL AIR,United States,N
California Air Shuttle,,CSL,CALIFORNIA SHUTTLE,United States,N
Camai Air,R9,CAM,AIR CAMAI,United States,N
Cape Air,9K,KAP,CAIR,United States,Y
Cape Central Airways,,SEM,SEMO,United States,N
Cape Smythe Air,,CMY,CAPE SMYTHE AIR,United States,N
Capital Air Service,,CPX,CAPAIR,United States,N
Capital Cargo International Airlines,PT,CCI,CAPPY,United States,N
Capital City Air Carriers,,CCQ,CAP CITY,United States,N
Capitol Air Express,,CEX,CAPITOL EXPRESS,United States,N
Capitol Wings Airline,,CWZ,CAPWINGS,United States,N
Cardinal/Air Virginia,,FVA,AIR VIRGINIA,United States,N
Cargo 360,GG,GGC,LONG-HAUL,United States,N
Caribbean Express,,TLC,CARIB-X,United States,N
Carroll Air Service,,ULS,ULSTER,United States,N
Casement Aviation,,CMT,CASEMENT,United States,N
Casino Airline,,CSO,CASAIR,United States,N
Casper Air Service,,CSP,CASPER AIR,United States,N
Castle Aviation,,CSJ,CASTLE,United States,N
Catalina Flying Boats,,CBT,CATALINA AIR,United States,N
Centennial Airlines,,CNL,WYO-AIR,United States,N
Central Airlines,,CTL,CENTRAL COMMUTER,United States,N
Central Aviation,,YOG,YOGAN AIR,United States,N
Central Flying Service,,CHA,CHARTER CENTRAL,United States,N
Central Skyport,,CSI,SKYPORT,United States,N
Centre Airlines,,DTV,DUTCH VALLEY,United States,N
Centurion Air Cargo,WE,CWC,CHALLENGE CARGO,United States,N
Certified Air Dispatch,,XAD,,United States,N
Chalk's Ocean Airways,OP,CHK,CHALKS,United States,N
Challenge International Airlines,,OFF,CHALLENGE AIR,United States,N
Champion Air,MG,CCP,CHAMPION AIR,United States,N
Channel Island Aviation,,CHN,CHANNEL,United States,N
Chantilly Air,,WML,MARLIN,United States,N
Chaparral Airlines,,CPL,CHAPARRAL,United States,N
Charlie Hammonds Flying Service,,HMD,HAMMOND,United States,N
Charlotte Air National Guard,,CGD,,United States,N
Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States,Y
Cherokee Express,,CBM,BLUE MAX,United States,N
Cherry Air,,CCY,CHERRY,United States,N
Chesapeake Air Service,,CAB,CHESAPEAKE AIR,United States,N
Chevron U.S.A,,CVR,CHEVRON,United States,N
Cheyenne Airways,,CYA,CHEYENNE AIR,United States,N
Chicago Air,,CGO,WILD ONION,United States,N
Chicago Express,C8,WDY,WINDY CITY,United States,N
Chipola Aviation,,CEP,CHIPOLA,United States,N
Chippewa Air Commuter,,CPW,CHIPPEWA-AIR,United States,N
Christman Air System,,CAS,CHRISTMAN,United States,N
Chrome Air Services,,CHO,CHROME AIR,United States,N
Church Aircraft,,CHU,CHURCHAIR,United States,N
Cirrus Air,,NTS,NITE STAR,United States,N
Citationshares,,FIV,FIVE STAR,United States,N
Citibank,,XCX,,United States,N
City of Bangor,,XBG,,United States,N
Citylink Airlines,,HSR,HOOSIER,United States,N
Civil Air Patrol South Carolina Wing,,BKR,BOX KAR,United States,N
Clark Aviation,,CLK,CLARKAIR,United States,N
Clay Lacy Aviation,,CLY,CLAY-LACY,United States,N
Coastal Air,DQ,,U.S. Virgin Islands,United States,Y
Coastal Air Transport,,TCL,TRANS COASTAL,United States,N
Coastal Airways,,CNG,SID-AIR,United States,N
Cohlmia Aviation,,CHL,COHLMIA,United States,N
Colemill Enterprises,,CLE,COLEMILL,United States,N
Colgan Air,9L,CJC,COLGAN,United States,Y
Colt International,,CCX,,United States,N
Columbia Helicopters,,WCO,COLUMBIA HELI,United States,N
Columbus Air Transport,,KLR,KAY-LER,United States,N
Colvin Aviation,,GHP,GRASSHOPPER EX,United States,N
Comair,OH,COM,COMAIR,United States,Y
Commonwealth Jet Service,,CJS,COMMONWEALTH,United States,N
CommutAir,C5,UCA,COMMUTAIR,United States,Y
Compass Airlines,CP,CPZ,Compass Rose,United States,Y
Compuflight Operations Service,,XCO,,United States,N
Compuserve Incorporated,,XCS,,United States,N
Condor Aero Services,,CNR,CONAERO,United States,N
Congressional Air,,CGA,CONGRESSIONAL,United States,N
Conquest Airlines,,CAC,CONQUEST AIR,United States,N
Conroe Aviation Services,,CXO,CONROE AIR,United States,N
Contel ASC,,XCL,,United States,N
Continental Airlines,CO,COA,CONTINENTAL,United States,Y
Continental Express,CO,,JETLINK,United States,Y
Continental Micronesia,CS,CMI,AIR MIKE,United States,Y
Continental Oil,,CON,CONOCO,United States,N
Cook Inlet Aviation,,CKA,COOK-AIR,United States,N
Copper State Air Service,,COP,COPPER STATE,United States,N
Corporate Air,,CPT,AIR SPUR,United States,N
Corporate Air,,CPR,CORPAIR,United States,N
Corporate Aircraft Company,,CPO,MOKAN,United States,N
Corporate Aviation Services,,CKE,CHECKMATE,United States,N
Corporate Flight International,,VHT,VEGAS HEAT,United States,N
Corporate Flight Management,,VTE,VOLUNTEER,United States,N
Corporate Jets,,CJI,SEA JET,United States,N
Courier Services,,CSD,DELIVERY,United States,N
Crow Executive Air,,CWX,CROW EXPRESS,United States,N
Crown Air Systems,,CKR,CROWN AIR,United States,N
Crown Airways,,CRO,CROWN AIRWAYS,United States,Y
Cryderman Air Service,,CTY,CENTURY,United States,N
Crystal Shamrock,,CYT,CRYSTAL-AIR,United States,N
Cumberland Airways (Nicholson Air Service),,CBL,CUMBERLAND,United States,N
Custom Air Transport,,CTT,CATT,United States,N
D & D Aviation,,DDA,DUSTY,United States,N
D&K Aviation,,DNK,DIRECT JET,United States,N
DSWA,,RSK,REDSKIN,United States,N
Daimler-Chrysler,,DCX,DAIMLER,United States,N
Dallas Express Airlines,,DXP,DALLAS EXPRESS,United States,N
Danbury Airways,,DSA,DANBURY AIRWAYS,United States,N
Dash Air Charter,,DSH,DASH CHARTER,United States,N
Dassault Falcon Jet Corporation,,CVF,CLOVERLEAF,United States,N
Date Transformation Corp,,XDT,,United States,N
Dawn Air,,DWN,DAWN AIR,United States,N
DayJet,,DJS,DAYJET,United States,N
Decatur Aviation,,DAA,DECUR,United States,N
Deere and Company,,JDC,JOHN DEERE,United States,N
Delaware Skyways,,DWR,DELAWARE,United States,N
Delta Air Elite,,ELJ,ELITE JET,United States,N
Delta Air Lines,DL,DAL,DELTA,United States,Y
Delta State University,,DSU,DELTA STATE,United States,N
Denver Express,,FEC,FALCON EXPRESS,United States,N
Denver Jet,,DJT,DENVER JET,United States,N
Diamond Aviation,,SPK,SPARKLE,United States,N
Digital Equipment Corporation,,DGT,DIGITAL,United States,N
Direct Air,,DIA,BLUE SKY,United States,N
Direct Air trading as Midway Connection,,XAP,MID-TOWN,United States,N
Discover Air,,DCV,DISCOVER,United States,N
Discovery Airways,DH,DVA,DISCOVERY AIRWAYS,United States,N
Dispatch Services,,XDS,,United States,N
Dixie Airways,,DEE,TACAIR,United States,N
Dolphin Express Airlines,,IXX,ISLAND EXPRESS,United States,N
Drummond Island Air,,DRE,MICHIGAN,United States,N
Duncan Aviation,,PHD,PANHANDLE,United States,N
Dwyer Aircraft Services,,DFS,DWYAIR,United States,N
Dynair Services,,XDY,,United States,N
E H Darby Aviation,,EHD,PLATINUM AIR,United States,N
Eagle Aero,,ICR,ICARUS FLIGHTS,United States,N
Eagle Jet Charter,,EGJ,EAGLE JET,United States,N
Eaglemed (Ballard Aviation),,EMD,EAGLEMED,United States,N
East Coast Jets,,ECJ,EASTCOAST JET,United States,N
East Hampton Aire,,EHA,AIRE HAMPTON,United States,N
East Kansas City Aviation,,EKC,BLUE GOOSE,United States,N
Eastern Carolina Aviation,,ECI,EASTERN CAROLINA,United States,N
Eastern Metro Express,,EME,EMAIR,United States,N
Eastwind Airlines,W9,SGR,STINGER,United States,N
Eckles Aircraft,,CMN,CIMMARON AIRE,United States,N
Eclipse Aviation,,EJT,ECLIPSE JET,United States,N
Edgartown Air,,SLO,SLOW,United States,N
Edwards Jet Center of Montana,,EDJ,EDWARDS,United States,N
Elan Express,,ELX,ELAN,United States,N
Elliott Aviation,,ELT,ELLIOT,United States,N
Embassy Freight Company,,EFT,EMBASSY FREIGHT,United States,N
Embry-Riddle Aeronautical University,,XSL,SATSLAB,United States,N
Emery Worldwide Airlines,,EWW,EMERY,United States,N
Empire Air Service,,EMP,EMPIRE,United States,N
Empire Airlines,EM,CFS,EMPIRE AIR,United States,N
Entergy Services,,ENS,ENTERGY SHUTTLE,United States,N
Eos Airlines,E0,ESS,NEW DAWN,United States,N
Era Helicopters,,ERH,ERAH,United States,N
Erie Airways,,ERE,AIR ERIE,United States,N
Evergreen International Airlines,EZ,EIA,EVERGREEN,United States,Y
Everts Air Alaska/Everts Air Cargo,,VTS,EVERTS,United States,N
Executive Air Charter,,EAC,EXECAIR,United States,N
Executive Air Fleet,,XAF,,United States,N
Executive Airlines,OW,EXK,EXECUTIVE EAGLE,United States,N
Executive Flight,,EXE,EXEC,United States,N
Executive Jet Management,,EJM,JET SPEED,United States,N
Express Air,,FXA,EFFEX,United States,N
Express Line Aircompany,,XPL,EXPRESSLINE,United States,N
Express Net Airlines,,XNA,EXPRESSNET,United States,N
Express One International,EO,LHN,LONGHORN,United States,Y
ExpressJet,XE,BTA,JET LINK,United States,Y
NetJets,,EJA,,United States,N
F.S. Air Service,,EYE,SOCKEYE,United States,N
FINFO Flight Inspection Aircraft,,FLC,FLIGHT CHECK,United States,N
FLTPLAN,,DCM,DOT COM,United States,N
Fairways Corporation,,FWY,FAIRWAYS,United States,N
Falcon Air Express,,FAO,PANTHER,United States,N
Falwell Aviation,,FAW,FALWELL,United States,N
Farmingdale State University,,FDL,FARMINGDALE STATE,United States,N
Farwest Airlines,,FRW,FARWEST,United States,N
Fayetteville Flying Service and Scheduled Skyways System,,SKM,SKYTEM,United States,N
Federal Armored Service,,FRM,FEDARM,United States,N
